       1   0,00903299551790636
    1,09   0,254793358613481
    1,18   0,500469221116665
    1,27   0,741855916830636
    1,36   0,974728930240506
    1,45   1,1949447032548
    1,54   1,39852830233979
    1,63   1,58174870381712
    1,72   1,74118243721657
    1,81   1,87376630869667
     1,9   1,97683990866744
    1,99   2,04817858987049
    2,08   2,08601758429302
    2,17   2,08906790941348
    2,26   2,05652469639783
    2,35   1,98806855498646
    2,44   1,8838605719332
    2,53   1,74453152197903
    2,62   1,57116585246406
    2,71   1,36528098480296
     2,8   1,12880245816981
    2,89   0,864035422860104
    2,98   0,573632972917795
    3,07   0,260561789738182
    3,16   -0,0719344495233982
    3,25   -0,420373462784161
    3,34   -0,781074135034519
    3,43   -1,15019727131262
    3,52   -1,52378694833574
    3,61   -1,89781210035333
     3,7   -2,26820799266181
    3,79   -2,63091725410242
    3,88   -2,98193015774176
    3,97   -3,31732385681203
    4,06   -3,63330030087003
    4,15   -3,92622257500763
    4,24   -4,19264942283179
    4,33   -4,42936773180316
    4,42   -4,63342277741117
    4,51   -4,80214604052968
     4,6   -4,93318043018891
    4,69   -5,02450276186842
    4,78   -5,07444335929978
    4,87   -5,08170266564539
    4,96   -5,04536476779789
    5,05   -4,964907755422
    5,14   -4,84021085424662
    5,23   -4,67155829097972
    5,32   -4,4596398651184
    5,41   -4,20554822077615
     5,5   -3,91077282956748
    5,59   -3,57719071341749
    5,68   -3,20705395410424
    5,77   -2,80297405415816
    5,86   -2,36790323167205
5,94999999999999   -1,90511274942332
6,03999999999999   -1,41816839660171
6,12999999999999   -0,910903259307759
6,21999999999999   -0,387387933885066
6,30999999999999   0,148101645017505
6,39999999999999   0,691118571809227
6,48999999999999   1,23708132509381
6,57999999999999   1,78131188500208
6,66999999999999   2,31907536927383
6,75999999999999   2,84562092678595
6,84999999999999   3,35622360930239
6,93999999999999   3,84622692439495
7,02999999999999   4,31108575455175
7,11999999999999   4,74640930966075
7,20999999999999   5,14800376213395
7,29999999999999   5,51191419608847
7,38999999999999   5,83446548411951
7,47999999999999   6,1123016872981
7,56999999999999   6,34242355616152
7,65999999999999   6,52222369262859
7,74999999999999   6,64951891478358
7,83999999999999   6,72257934872255
7,92999999999999   6,74015375368708
8,01999999999999   6,70149056888954
8,10999999999999   6,6063541524461
8,19999999999999   6,4550356651971
8,28999999999999   6,24835803394308
8,37999999999999   5,98767441113887
8,46999999999999   5,67485952996367
8,55999999999999   5,31229333579086
8,64999999999999   4,90283625744951
8,73999999999999   4,44979546346758
8,82999999999999   3,95688143080997
8,91999999999999   3,42815413581548
9,00999999999999   2,86795815880305
9,09999999999999   2,28084597643374
9,18999999999999   1,67148869756238
9,27999999999999   1,04457348088181
9,36999999999999   0,404686854307329
9,45999999999999   -0,243816861481719
9,54999999999999   -0,896962840741253
9,63999999999999   -1,55131958530001
9,72999999999999   -2,20418015342784
9,81999999999999   -2,85376165387788
9,90999999999999   -3,49942389246826
